Pos,Team,Matches,Points,Rating
1,Australia Women,29,8750,302
2,England Women,35,9886,282
3,New Zealand Women,28,7511,268
4,India Women,46,12186,265
5,South Africa Women,27,6831,253
6,West Indies Women,27,6157,228
7,Pakistan Women,30,6592,220
8,Sri Lanka Women,26,5548,213
9,Bangladesh Women,26,4907,189
10,Ireland Women,26,4629,178
11,Zimbabwe Women,20,3239,162
12,PNG Women,15,2396,160
13,Thailand Women,22,3557,162
14,Scotland Women,15,2142,143
15,UAE Women,31,4093,132
16,Tanzania Women,19,2124,112
17,Nepal Women,19,2093,110
18,Namibia Women,21,2189,104
19,Indonesia Women,8,826,103
20,Uganda Women,29,2910,100
21,Netherlands Women,13,1302,100
22,Kenya Women,25,2171,87
23,Hong Kong Women,18,1523,85
24,Jersey Women,6,458,76
25,USA Women,14,971,69
26,Rwanda Women,24,1448,60
27,Italy Women,12,721,60
28,Malaysia Women,24,1403,58
29,Nigeria Women,23,1274,55
30,Sweden Women,10,495,50
31,Germany Women,20,952,47
32,Brazil Women,19,900,47
33,Canada Women,6,277,46
34,Belize Women,3,135,45
35,Vanuatu Women,10,444,44
36,Spain Women,8,256,32
37,Sierra Leone Women,12,352,29
38,Mozambique Women,12,328,27
39,France Women,9,214,24
40,Botswana Women,15,345,23
41,Bhutan Women,9,207,23
42,Oman Women,13,289,22
43,Samoa Women,10,205,21
44,Singapore Women,18,367,20
45,Malawi Women,4,71,18
46,Kuwait Women,16,278,17
47,Bahrain Women,8,138,17
48,Romania Women,7,105,15
49,Qatar Women,21,245,12
50,Costa Rica Women,3,34,11
51,Argentina Women,12,95,8
52,Austria Women,16,99,6
53,Cambodia Women,11,65,6
54,Phlilippines Women,8,42,5
55,Fiji Women,10,28,3
56,Cameroon Women,7,4,1
57,Eswatini Women,9,0,0
58,Norway Women,9,0,0
59,Ghana Women,9,0,0
60,Peru Women,5,0,0
